cond,block_nr,trial_nr,set-size,target-1,old_color-1,new_color-1,target-2,old_color-2,new_color-2,target-3,old_color-3,new_color-3,target-4,old_color-4,new_color-4,change_detected
target,0,0,8,[   0. -400.],"(85.4, -87.2, 78.4)","(57.2, 79.7, 62.8)",[ 200. -200.],"(85.4, -87.2, 78.4)","(91.1, -41.6, -31.6)",[200. 200.],"(66.6, 97, -68.8)",,,,,True
target,0,1,8,[   0. -400.],"(66.6, 97, -68.8)","(2.1, -4.4, -3.8)",,,,,,,,,,True
target,0,2,8,[200. 200.],"(2.1, -4.4, -3.8)","(91.1, -41.6, -31.6)",[400.   0.],"(97.2, -16.1, 91.4)",,,,,,,,True
target,0,3,8,,,,,,,,,,,,,False
target,0,4,8,,,,,,,,,,,,,False
target,0,5,8,,,,,,,,,,,,,False
target,0,6,8,[-200. -200.],"(97.2, -16.1, 91.4)",,[   0. -400.],"(85.4, -87.2, 78.4)",,[-400.    0.],green,"(57.2, 79.7, 62.8)",[ 200. -200.],"(57.2, 79.7, 62.8)",,True
target,0,7,8,,,,,,,,,,,,,False
target,1,0,8,,,,,,,,,,,,,True
target,1,1,8,[  0. 400.],"(2.1, -4.4, -3.8)","(66.6, 97, -68.8)",,,,,,,,,,True
target,1,2,8,,,,,,,,,,,,,True
target,1,3,8,[ 200. -200.],"(57.2, 79.7, 62.8)",,[   0. -400.],"(91.1, -41.6, -31.6)","(66.6, 97, -68.8)",[-200.  200.],"(66.6, 97, -68.8)",,,,,True
target,1,4,8,,,,,,,,,,,,,False
target,1,5,8,,,,,,,,,,,,,False
target,1,6,8,[-200.  200.],"(2.1, -4.4, -3.8)",,[-200. -200.],"(66.6, 97, -68.8)",,[ 200. -200.],"(85.4, -87.2, 78.4)","(61.7, 68.4, 65.7)",[400.   0.],"(66.6, 97, -68.8)",,True
target,1,7,8,[400.   0.],"(85.4, -87.2, 78.4)",,[-200.  200.],green,"(66.6, 97, -68.8)",,,,,,,True
