cond,block_nr,trial_nr,set-size,target,old_color,new_color,change_detected
set-size,0,0,8,[200. 200.],"(85.4, -87.2, 78.4)",green,True
set-size,0,1,4,,,,True
set-size,0,2,2,[ 200. -200.],green,"(57.2, 79.7, 62.8)",True
set-size,0,3,4,,,,False
set-size,0,4,6,,,,False
set-size,0,5,8,[ 200. -200.],"(2.1, -4.4, -3.8)","(91.1, -41.6, -31.6)",False
set-size,0,6,6,,,,False
set-size,0,7,2,[-200.  200.],"(2.1, -4.4, -3.8)","(97.2, -16.1, 91.4)",True
set-size,1,0,4,,,,False
set-size,1,1,6,[   0. -400.],"(2.1, -4.4, -3.8)","(66.6, 97, -68.8)",False
set-size,1,2,6,,,,False
set-size,1,3,8,[200. 200.],"(91.1, -41.6, -31.6)","(85.4, -87.2, 78.4)",True
set-size,1,4,4,[-400.    0.],green,"(97.2, -16.1, 91.4)",False
set-size,1,5,8,[   0. -400.],"(61.7, 68.4, 65.7)","(2.1, -4.4, -3.8)",False
set-size,1,6,2,,,,False
set-size,1,7,2,,,,False
